"County","2-24-25","2-25-25","2-28-25","3-4-25","3-7-25","3-11-25","3-14-25","3-18-25","3-21-25","3-25-25","3-28-25"
"Andrews",,,,,,,,,,,1
"Cochran",,,,,,,6,7,7,7,8
"Dallam",,4,4,4,5,5,6,6,6,6,7
"Dawson",6,7,8,9,9,10,11,11,13,13,14
"Ector",1,2,2,2,2,2,2,2,2,2,4
"Erath",,,,,,,,,,,1
"Gaines",57,80,98,107,137,156,174,191,211,226,270
"Garza",,,,,,,,,1,1,1
"Hale",,,,,,,,,1,1,1
"Harris",,,,2,2,2,2,3,3,3,3
"Hockley",,,,,,,,,1,1,2
"Lamar",,,,,,,4,7,7,7,10
"Lamb",,,,,,,,,,1,1
"Lubbock",1,1,2,3,3,3,4,5,8,10,23
"Lynn",1,1,2,2,2,2,2,2,2,1,1
"Martin",,3,3,3,3,3,3,3,3,3,3
"Midland",,,,,,,,,1,1,1
"Rockwall",,,,1,1,1,1,1,1,1,1
"Terry",20,21,21,22,29,32,36,36,37,37,38
"Travis",,,,1,1,1,1,1,1,1,1
"Yoakum",4,5,6,7,8,10,11,11,12,13,15
"Total",90,124,146,163,202,227,263,286,317,335,406
